source_file,label,direction,match_count,total_count,match_ratio
snapshot_sym0_date0_am.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date0_am.csv,label_5,past,1224,1994,0.6138
snapshot_sym0_date0_am.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date0_am.csv,label_10,past,959,1989,0.4822
snapshot_sym0_date0_am.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date0_am.csv,label_20,past,1315,1979,0.6645
snapshot_sym0_date0_am.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date0_am.csv,label_40,past,902,1959,0.4604
snapshot_sym0_date0_am.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date0_am.csv,label_60,past,733,1939,0.378
snapshot_sym0_date0_pm.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date0_pm.csv,label_5,past,1331,1994,0.6675
snapshot_sym0_date0_pm.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date0_pm.csv,label_10,past,1134,1989,0.5701
snapshot_sym0_date0_pm.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date0_pm.csv,label_20,past,1515,1979,0.7655
snapshot_sym0_date0_pm.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date0_pm.csv,label_40,past,1185,1959,0.6049
snapshot_sym0_date0_pm.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date0_pm.csv,label_60,past,971,1939,0.5008
snapshot_sym0_date10_am.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date10_am.csv,label_5,past,1370,1994,0.6871
snapshot_sym0_date10_am.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date10_am.csv,label_10,past,1111,1989,0.5586
snapshot_sym0_date10_am.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date10_am.csv,label_20,past,1296,1979,0.6549
snapshot_sym0_date10_am.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date10_am.csv,label_40,past,932,1959,0.4758
snapshot_sym0_date10_am.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date10_am.csv,label_60,past,787,1939,0.4059
snapshot_sym0_date10_pm.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date10_pm.csv,label_5,past,1550,1994,0.7773
snapshot_sym0_date10_pm.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date10_pm.csv,label_10,past,1312,1989,0.6596
snapshot_sym0_date10_pm.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date10_pm.csv,label_20,past,1585,1979,0.8009
snapshot_sym0_date10_pm.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date10_pm.csv,label_40,past,1164,1959,0.5942
snapshot_sym0_date10_pm.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date10_pm.csv,label_60,past,900,1939,0.4642
snapshot_sym0_date11_am.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date11_am.csv,label_5,past,1284,1994,0.6439
snapshot_sym0_date11_am.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date11_am.csv,label_10,past,1002,1989,0.5038
snapshot_sym0_date11_am.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date11_am.csv,label_20,past,1243,1979,0.6281
snapshot_sym0_date11_am.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date11_am.csv,label_40,past,818,1959,0.4176
snapshot_sym0_date11_am.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date11_am.csv,label_60,past,566,1939,0.2919
snapshot_sym0_date11_pm.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date11_pm.csv,label_5,past,1581,1994,0.7929
snapshot_sym0_date11_pm.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date11_pm.csv,label_10,past,1233,1989,0.6199
snapshot_sym0_date11_pm.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date11_pm.csv,label_20,past,1519,1979,0.7676
snapshot_sym0_date11_pm.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date11_pm.csv,label_40,past,1074,1959,0.5482
snapshot_sym0_date11_pm.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date11_pm.csv,label_60,past,684,1939,0.3528
snapshot_sym0_date12_am.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date12_am.csv,label_5,past,1202,1994,0.6028
snapshot_sym0_date12_am.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date12_am.csv,label_10,past,935,1989,0.4701
snapshot_sym0_date12_am.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date12_am.csv,label_20,past,1119,1979,0.5654
snapshot_sym0_date12_am.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date12_am.csv,label_40,past,714,1959,0.3645
snapshot_sym0_date12_am.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date12_am.csv,label_60,past,532,1939,0.2744
snapshot_sym0_date12_pm.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date12_pm.csv,label_5,past,1625,1994,0.8149
snapshot_sym0_date12_pm.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date12_pm.csv,label_10,past,1243,1989,0.6249
snapshot_sym0_date12_pm.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date12_pm.csv,label_20,past,1488,1979,0.7519
snapshot_sym0_date12_pm.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date12_pm.csv,label_40,past,1054,1959,0.538
snapshot_sym0_date12_pm.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date12_pm.csv,label_60,past,804,1939,0.4146
snapshot_sym0_date13_am.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date13_am.csv,label_5,past,1212,1994,0.6078
snapshot_sym0_date13_am.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date13_am.csv,label_10,past,966,1989,0.4857
snapshot_sym0_date13_am.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date13_am.csv,label_20,past,990,1979,0.5003
snapshot_sym0_date13_am.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date13_am.csv,label_40,past,673,1959,0.3435
snapshot_sym0_date13_am.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date13_am.csv,label_60,past,708,1939,0.3651
snapshot_sym0_date13_pm.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date13_pm.csv,label_5,past,1789,1994,0.8972
snapshot_sym0_date13_pm.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date13_pm.csv,label_10,past,1522,1989,0.7652
snapshot_sym0_date13_pm.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date13_pm.csv,label_20,past,1703,1979,0.8605
snapshot_sym0_date13_pm.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date13_pm.csv,label_40,past,1261,1959,0.6437
snapshot_sym0_date13_pm.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date13_pm.csv,label_60,past,878,1939,0.4528
snapshot_sym0_date14_am.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date14_am.csv,label_5,past,1459,1994,0.7317
snapshot_sym0_date14_am.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date14_am.csv,label_10,past,1141,1989,0.5737
snapshot_sym0_date14_am.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date14_am.csv,label_20,past,1476,1979,0.7458
snapshot_sym0_date14_am.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date14_am.csv,label_40,past,844,1959,0.4308
snapshot_sym0_date14_am.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date14_am.csv,label_60,past,715,1939,0.3687
snapshot_sym0_date14_pm.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date14_pm.csv,label_5,past,1704,1994,0.8546
snapshot_sym0_date14_pm.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date14_pm.csv,label_10,past,1423,1989,0.7154
snapshot_sym0_date14_pm.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date14_pm.csv,label_20,past,1664,1979,0.8408
snapshot_sym0_date14_pm.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date14_pm.csv,label_40,past,1218,1959,0.6217
snapshot_sym0_date14_pm.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date14_pm.csv,label_60,past,1013,1939,0.5224
snapshot_sym0_date15_am.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date15_am.csv,label_5,past,1235,1994,0.6194
snapshot_sym0_date15_am.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date15_am.csv,label_10,past,1002,1989,0.5038
snapshot_sym0_date15_am.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date15_am.csv,label_20,past,1250,1979,0.6316
snapshot_sym0_date15_am.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date15_am.csv,label_40,past,868,1959,0.4431
snapshot_sym0_date15_am.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date15_am.csv,label_60,past,711,1939,0.3667
snapshot_sym0_date15_pm.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date15_pm.csv,label_5,past,1779,1994,0.8922
snapshot_sym0_date15_pm.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date15_pm.csv,label_10,past,1481,1989,0.7446
snapshot_sym0_date15_pm.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date15_pm.csv,label_20,past,1743,1979,0.8807
snapshot_sym0_date15_pm.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date15_pm.csv,label_40,past,1358,1959,0.6932
snapshot_sym0_date15_pm.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date15_pm.csv,label_60,past,1142,1939,0.589
snapshot_sym0_date16_am.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date16_am.csv,label_5,past,1187,1994,0.5953
snapshot_sym0_date16_am.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date16_am.csv,label_10,past,925,1989,0.4651
snapshot_sym0_date16_am.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date16_am.csv,label_20,past,1372,1979,0.6933
snapshot_sym0_date16_am.csv,label_40,future,1959,1959,1.0
snapshot_sym0_date16_am.csv,label_40,past,1009,1959,0.5151
snapshot_sym0_date16_am.csv,label_60,future,1939,1939,1.0
snapshot_sym0_date16_am.csv,label_60,past,885,1939,0.4564
snapshot_sym0_date16_pm.csv,label_5,future,1994,1994,1.0
snapshot_sym0_date16_pm.csv,label_5,past,1786,1994,0.8957
snapshot_sym0_date16_pm.csv,label_10,future,1989,1989,1.0
snapshot_sym0_date16_pm.csv,label_10,past,1609,1989,0.8089
snapshot_sym0_date16_pm.csv,label_20,future,1979,1979,1.0
snapshot_sym0_date16_pm.csv,label_20,past,1821,1979,0.9202
